abacus	n．算盘
commitment	n.承诺，责任
committed	a.(对事业，本职工作等)尽忠的
committee	n.委员会
commodious	a.宽敞的
commodity	n.商品
common divisor	n.公约数
commonplace	a.平常的，平庸的
commonsense	a.具有常识的
commonwealth	n.共和国，联邦
commotion	n.骚动，动乱
communal	a.全体共用的，共享的
commune	n.公社；v.与某人亲密地交谈
communicate	v.传送信息，沟通
communication	n.通讯，交流；传达；(pl.)通信系统
community	n.社区；市民大众；共有，共同性
commute	v.交换；坐公交车上下班
commuter	n.往返者
compact	a.结实的；简洁明了的；n.合同，协议
compactness	n.紧密,坚实,简洁;［物］紧密度
companion	n.同伴，同伙；受雇的陪伴人
companionate	a.结伴,同伴的
company	n.公司，商社；陪伴，伴随，交往；(一)伙
comparable	a.可比较的，比得上的
comparative	a.比较的
compare	v.比较，对照；比作，比喻
comparison	n.比较，对照；比喻
compartment	n.隔间，车厢
compartmentalize	v.分隔;划分
compass	n.指南针，罗盘；界限，范围
compassion	n.同情，怜悯
compassionate	a.有同情心的
compatibility	n.和谐共处，不矛盾
compatible	a.和谐共处的，相容的
compatriot	n.同胞，同国人
compel	v.强迫
compellation	n.姓名，头衔
compelling	a.引起兴趣的
compendious	adj.简洁的，简要的com+pend(挂)+ium→挂在一起→概要
compendium	n.简要，概略
compensate	v.补偿，赔偿
compensation	n.补偿,赔偿
compensatory	a.补偿性的，报酬的
compere	n.节目主持人，司仪，v.主持(节目)
compete	v.竞争，对抗
competence	n.胜任，能力
competent	a.胜任的
competition	n.比赛，竞赛
competitive	a.竞争的，比赛的
compile	v.汇集；编辑
complacency	n.满足，安心
complacent	a.自满的，得意的
complaint	n.投诉;意见;抱怨
complaisance	n.彬彬有礼，殷勤，柔顺
complaisant	a.顺从的，讨好的
complement	n.补足物;(数)余数;血清中的补体
complementary	a.互补的
complex	n.综合企业;［生］染色体组;［心］情结
complexion	n.肤色，局面
compliance	n.顺从，遵从
compliant	a.服从的，顺从的
complicate	v.使某事复杂化
complicated	a.复杂的
complication	n.复杂，纠纷
complicity	n.共谋, 串通
compliment	n./v.恭维，称赞
complimentary	adj.赞赏的
comply	v.遵循，顺从
component	n.成分，零部件
comport	v.举止，行为
comportment	n.举止
compose	v.写，创作；组成
composed	a.镇定的，沉着的
composer	n.作曲家
composite	
composite number	n.合数
composition	n.构成，成分；作文，作曲；(音乐等)作品
compost	n.混合肥料
composure	n.镇静，沉着；自若
compound	n.复合物；v.掺和
compound interest	n.复利
comprehend	v.理解；包括
comprehensible	a.能充分理解的
comprehensive	a.全面的，综合的
compress	v.压缩，浓缩
compressor	n．压缩机
comprise	v.包含;由...组成
compromise	v.妥协，折中；危害
compulsion	n.强迫；难以抗拒的冲动，欲望
compulsive	adj．难以抑制的
compulsory	a.强制性的,命令性的
compunction	n.懊悔，良心不安
computation	n．计算
compute	v．计算
con	v.①熟读，精读②哄骗
concatenate	v.连结；连锁
concatenation	n．连结，一连串
concave	a.凹的
conceal	v.隐藏，隐瞒
concede	v.承认(为正确)；让步
conceit	n.自负，自大
conceited	adj．自负的，自高自大的
conceivable	adj．想像得出的，可信的
conceive	v.想像，构想；怀孕
concentrate	v.集中，浓缩
concentric	
concentric  circle	n.同心圆
conception	n.概念；开始
concern	n.公司，企业(康采恩)
concerned	a.认为重要的;关注的
concert	n.一致,协作,和谐
concerted	adj.共同筹划的, 合作的
concerto	n.协奏曲
concession	n.让步
conciliate	v.安抚，使和解，调和
conciliation	n．安慰，安抚
conciliatory	a.抚慰的，调和的
concise	a.简洁的
concision	n．简明，简洁
conclave	n.秘密会议
conclude	v.推断出;推论出
conclusive	a.最后的，结论的；确凿的，消除怀疑的
concoct	v．调制，捏造
concoction	n．调配（物），谎言
concomitant	a.伴随而来的
concord	n.和睦；公约
concordant	adj．和谐的，一致的
concrete	a.具体存在的；n.混凝土
concur	v.意见相同，一致
concurrence	n.同意：观点一致
concurrent	a.同时发生的
concussion	n.脑震荡；强烈震动
condemn	v.极力谴责；判刑
condemnation	n．谴责，定罪
condense	v.浓缩
condescend	v.屈尊，俯就
condescending	a.谦逊的，故意屈尊的
condescension	n．自以为高人一等，贬低（别人）
condign	a.罪有应得的
condiment	n．调味品，佐料
condiments	n.调味品;作料
condition	n.条件，状态，状况；(pl.)环境，形势
condole	v.表达同情或悲伤
condole with	p.对某人表达同情
condolence	n．吊唁，哀悼
condone	v.宽恕，原谅
condor	n.(动)(南美产)神鹰,秃鹰
conduce to	v.导致，有助于
conducive	a.有助于…的
conduct	n.品德，行为；v.领导，引导
conductor	n.指挥
conduit	n.渠道，引水道；水管
cone	n.松果；圆锥体
confection	n.甜食，糖果
confederacy	n.联盟或同盟
confederate	n.同盟者, 盟友
confer	v.讨论，商谈；赠予
conference	n.讨论会，协商会
confess	v.承认，供认
confession	n.供认，承认
confidant	n.男性知己
confide	v.（信赖的）倾诉
confidence	n.信任，自信，信心
confident	a.确信的，自信的
confidential	a.机密的
configuration	n.结构，配置；轮廓
confine	v.限制，禁闭
confinement	n.限制,禁闭
confirm	v.证实，证明
confirmation	n.证实：证实的行为
confirmed	adj.习惯的，积习的
confiscate	v.没收；充公
conflagration	n.建筑物或森林大火
conflate	v.合并
conflict	v./n.斗争，战斗；冲突，抵触
confluence	n．合流，汇流
conform	v.符合或遵守公认的规则
conformism	n.因循守旧
conformist	n.尊奉者，英国国教徒
conformity	n.一致，遵从；顺从
confound	v.使迷惑，搞混
confront	v.面临；对抗
confrontation	n．对抗
confuse	v.使混乱，使困惑；混淆，混同
confusion	n.混淆，混乱；困惑，糊涂
congeal	v.冻结，凝固
congenial	a.意气相投的；性情好的
congenital	adj．（病等）先天的，天生的
congest	v.使拥挤；充血
congested	a.挤塞的，不畅通的
congestion	n.充血,拥挤
conglomerate	v.集聚成团
conglomeration	n.聚集物
congregate	v.聚集，集合
congregation	n.集合在一起的群众
Congress	n.代表大会
congress	n.代表大会；(美国)国会，议会
congressman	n.国会议员
congruence	n.合适;相称;一致
congruent	a.(形状大小)全等的，一致的
congruity	n．全等，一致
congruous	a.一致的，符合的；[数]全等的
conifer	n.针叶树
conjecture	v./n.推测，臆测
conjoin	v.使结合
conjugal	adj.婚姻的，夫妻的
conjunction	n.联合；连词
conjure	v.恳求，祈求；变魔术，变戏法
connect	v.连接；与…联系 vi.连接，相通
connection	n.连接；联络工具；(亲属、社会上的)关系
connivance	n．共谋，纵容
connive	v.默许；纵容(错误)；共谋(阴谋)
connoisseur	n.鉴赏家，行家
connotation	n.言外之意，含蓄义
connotative	adj．有含意的，暗示的
connote	v.隐含：字面之外的含义
connubial	a.婚姻的，夫妇的
conquer	v.以武力征服
conquest	n.征服；战利品
consanguinity	n．血亲，同家
conscience	n.良心，是非感
conscientious	a.小心尽责的；小心谨慎的
conscious	a.有意识的，意识到的；神志清醒的；有意的
consciousness	n.意识，觉察；知觉
conscript	v.强行征兵，征召
consecrate	v.1.使神圣2.奉献
consecutive	integer
consecutive integer	n.连续的整数
consensus	n.意见一致
consent	v.同意，允许
consequence	n.结果；重要性；价值
consequent	a.作为结果的；必然的
consequential	a.傲慢的，自以为是的
conservation	n.保存，保护；守恒
conservative	a.保守的，守旧的
conservatory	n.温室；音乐、艺术学院
conserve	v.保全，保存
consider	v.认为;看待
considerable	a.相当多的；值得考虑的
considerate	adj. 体谅的
consideration	n.考虑；需考虑到的事；体谅，关心
consign	v.托运；托人看管
consignment	n．托运，寄售
consist	vi.(in)存在于；(of)由…组成，构成，包括
consistency	n.一致性；坚实度，可靠性；不矛盾
consistent	a.前后一致的
consolation	n．安慰，慰藉
console	v.安慰，抚慰
consolidate	v.巩固；(使)坚强；合并
consolidation	n.合并，巩固
consonance	n.一致；调和
consonant	a.调和的，一致的
consort	v.陪伴, 结交
consortia	n.(consortium的复数)合作,合伙,联合;国际才团
conspectus	n．概要，大纲
conspicuous	a.显著的，显而易见的
conspiracy	n.共谋，阴谋
conspirator	n．阴谋者，谋叛者
conspire	v.阴谋，共谋
constable	n.(英国)警察，警官
constabulary	a. 警察的,警官的
constant	a.稳定的，不变的; n.常数
constellation	n.星座，星群；一群杰出人物
consternation	n.大为吃惊，惊骇
constituent	n.成分；选区内的选民
constitute	v.组成，构成；建立
constitution	n.宪法；人的体质
constitutional	a.章程的，法规的；素质上的，本质的
constrain	v.束缚，强迫；限制
constrained	a.束缚的，节制的
constraint	n.强制，强迫；对感情的压抑
constrict	v.压缩，收缩
constringe	v.使收缩
construct	v.建筑，构成
construction	n.建造，构造；建筑物，结构；释义，解释
construe	v.解释；口头翻译
consul	n.领事
consult	v.请教；向…咨询；查阅；就诊 vi.商议
consultant	n.顾问，专家；医院的高级专科顾问医生
consultation	n. 请教,咨询,协议会
consultative	a.顾问的
consume	v.消耗：花费；耗尽
consumer	n.用户，消费者
consummate	a.完全的，完善的；v.完成
consummation	n．达到极点，完成
consumption	n.消费，消耗；消费额，消耗量；肺病
contact	n./v.接触；互通信息
contagion	n．传染（病）
contagious	a.(病)易传染的；（人、精神）有感染力的
contain	v.包含，含有；控制；阻止，遏制
container	n.容器 n.集装箱;货柜
containment	n.阻止，遏制
contaminant	a.污染的
contaminate	v.使…受污染(环境，思想)
contemn	v.蔑视, 对...置之不理
contemplate	v.深思
contemplation	n．沉思，思考
contemporary	a.当代的,同时代同年龄的;
contempt	n./v.轻视，鄙视
contemptible	a.令人轻视的
contemptuous	a.表示轻蔑的
contend	v.与对手竞争；据理力争
content	a.知足的，满意的；n.内容；满意
contented	a.心满意足的
contention	n.争论；论点
contentious	a.好辩的，善争吵的
contest	v.竞争；对…表示质疑，对…提出异议
contestant	n. 竞争者
context	n.(语句等的)上下文
contiguity	n．邻近，接壤
contiguous	a.接壤的，接近的
continence	n．节制、克制力
continent	a.自我克制的；n.大陆
contingency	n.意外事件,可能性
contingent	a.意外的；视情况或条件而定的
continually	a.不停的;不间断的
continuation	n.继续，延续
continuity	n.连贯性，连续性，持续性
contort	v.(使)扭曲；曲解
contortion	n．扭曲，弯曲
contour	n.1.轮廓;2.周线, 等高线
contraband	n.违禁品，走私货
contract	n.合同； v.订合同；收缩
contraction	n．收缩
contradict	v.反驳，驳斥；与…矛盾，与…相抵触
contradiction	n.矛盾；反驳
contradictory	a.反驳的，反对的，抗辩的；矛盾的
contralto	n.女低音
contrast	v./n.对比
contravene	v.违背(法规，习俗等)
contravention	n．违法
contribute	v.捐献，贡献，捐款；投(稿)；起一份作用
contribution	n.贡献，捐献；捐献物；投稿
contrite	a.悔罪的，痛悔的
contrition	n.悔罪，痛悔
contrivance	n.诡计;计谋;阴谋
contrive	v.计划，设计
contrived	a.不自然的，做作的
control	n.实验对照组
controversial	a.引起或可能引起争论的
controversy	n．争论，辩论
controvert	v.反驳，驳斥
contumacious	a.（无理）违抗的，不服从的
contumacy	n．抗命，不服从
contumelious	adj．无礼的，傲慢的
contumely	n．无礼，傲慢
contuse	v.挫伤，捣碎
contusion	n.挫伤，擦伤，撞伤
conundrum	n.(答案有双关意义的)谜语；难题
convalesce	v.(病)康复，复原
convalescence	n.病后康复期
convalescent	a./n.康复中的(病人)
convene	v. 召集
convenience	n.便利，有益；方便(的用具，机械等)
convenient	a.方便的;便利的
convention	n.会议，大会；惯例，习俗；公约，协定
conventional	a.因循守旧的，传统的
conventionality	n．陈规陋习，因袭传统
converge	v.会聚，集中于一点
convergent	a.会聚的
conversant	a.精通的，熟知的
converse	v.谈话；a.逆向的；n.相反的事物
conversely	adv. 1 相反地
conversion	n.转变,皈依
convert	v.使改变(信仰等)；n.改变信仰的人
convertible	a.可转换的；n.敞篷车
convex	a.凸出的
convey	v.运载，运送；表达
convict	v.定罪；n.罪犯
conviction	n.判罪；坚信
convince	v.使某人确信；说服
convivial	a.欢乐的，狂欢的
conviviality	n.欢乐；爱交际的性格
convocation	n．召集，会议
convoke	v.召集
convoluted	a.盘绕的；复杂的、费解的
convoy	v．护航，护送
convulse	v.使震动，震惊
convulsion	n.骚动；痉挛
coop	n.(鸡)笼，栏
cooperate	v.与他人合作
cooperation	v.合作;协作
cooperative	a.联营的，合作的；愿意协助的
coordinate	n.同等物；坐标；v.使各部分协调； a.同等的
copious	a.丰富的，多产的
copper	n.铜
copy	n.复制品;复印件
copyright	n．版权，著作权
coquetry	n.卖弄风情，媚态
coral	n. 珊瑚
cord	n.考得(木材堆的体积单位，等于128立方英尺，3.6246立方米)；绳索
cordial	a.真诚的，诚恳的
cordon	n．警戒线，哨兵线
core	n.果心；核心；v.去掉某物的中心部分
coriander	n.［植］芜荽，香菜
cork	n.软木，软木塞
corn	n.麦类作物;谷物
cornerstone	n.［建］墙角石,奠基石;［喻］柱石,基础
cornet	n．短号．圆锥形蛋卷（cone）
cornice	n.檐口;楣
cornstalk	n.玉米秆
cornucopia	n.象征丰收的羊角(羊角装饰器内装满花、果、谷物等以示富饶)
corny	a.平淡无奇的,乡巴老的
corona	n．日冕（月球经过太阳前面时，太阳外围呈现的光环），冠（状物）
coronary	a.冠的,花冠的,冠状的
coronary angiography	n.冠状动脉血管造影术
coronation	n.加冕
coroner	n.验尸官
corporal	adj．肉体的，身体的
corporate	a.团体的；共同的
corporation	n.公司；市政府
corporeal	a.肉体的，身体的；物质的
corps	n.特种部队，军团
corpse	n.尸体
corpulence	n.肥胖,
corpulent	adj．肥胖的
corpus	n．全集，全部资料
corpuscle	n.血球，细胞
corral	n.(牛、马等)畜栏
correct	a.准确无误的;正确的
correlate	n．相关的事物
correlation	n.相互关系，相关性
correspond	vi.对应于；符合；通信
correspondence	n.通信，信件；符合，一致；相当，相应
correspondent	a.符合的；n.记者
corresponding	a.相应的，相当的
corridor	n.走廊,通道
corrigendum	n.应改正的错误，正误表
corroborate	v.支持或证实；强化
corroboration	n．证实，支持，证据
corroborative	a.提供支持的;证实的
corrode	v.腐蚀，侵蚀
corrosive	a.腐蚀性的，腐蚀的，蚀坏的
corrugate	v.(使)起波浪形，起皱纹
corrugated	a.起皱纹的
corrugation	n．波浪形状，起皱纹
corrupt	a.堕落的，腐败的；文体有错误的
corruption	n.腐败, 贪污, 堕落
cortex	n.外皮；［解］皮质;［植］皮层
coruscate	v．闪亮，闪光
cosmetic	n.化妆品；美容剂 a.化妆用的；装饰门面的
cosmetics	n.化妆品
cosmic	a.宇宙的
cosmology	n.宇宙学
cosmopolitan	n.世界主义者，四海为家的人
cosmopolitanism	n.世界性，世界主义
cosmos	n.宇宙
cossack	n.哥萨克;哥萨克人
cosset	v.宠爱，溺爱
cost	n.成本
costly	a.价格高的，牺牲很大的：
costume	n.服装；剧装
cosy	a.暖和舒服的；(感觉)舒适的
coterie	n.(有共同兴趣的)小团体
coterminous	a.毗连的，有共同边界的
cotton	n.棉;棉花
couch	n．长沙发，睡椅
cougar	n.美洲豹
council	n.委员会，理事会
counsel	n./v.劝告
counselor	n. 顾问,参事,法律顾问
countenance	v.赞成，批准，支持；容忍；n.面部表情，面貌
counter	n.柜台 a.相反的 v.反对 ad.反方向地
counteract	v.消除，抵消
counterbalance	v.起平衡作用
counterclockwise	ad.逆时针方向
counterfeit	v.伪造，仿造
countermand	v.撤回(命令)，取消(订货)
counterpart	n.相对应或具有相同功能的人或物
counterpoise	v.平均，平衡
counterproductive	a.事与愿违的
countervail	v.补偿,抵销,敌过;
countrified	a.像乡下的;乡土气息的
coup	n.意外而成功的行动
couple	n.夫妻;情人
coupon	n.(债券等)息券;赠券;配给券
courier	n.送急件的人,信使
court	n.法庭，法院；宫廷，朝廷；v.献殷勤；追求功名
courteous	a.谦恭的
courtesy	n.礼貌，礼仪
coven	n.女巫团
covenant	n.契约；v.立书保证
cover	v.遮盖;掩蔽
coverage	n.范围，总额；保险额，保证金
covert	a.秘密的，隐密的
covet	v.贪求，妄想
covetous	adj．贪婪的，贪心的
cow	v.威胁
coward	n.胆小鬼
cowardice	n．胆小，懦弱
cower	v.(因寒冷或害怕)畏缩，蜷缩
cowshed	n.牛棚;牛舍
coy	a.腼腆的，忸怩的
coyote	n.(美国西部的)郊狼,小狼
cozen	v.欺骗, 哄骗
cozy	adj.舒适的
crab	n.蟹，螃蟹；v.抱怨，发脾气
crabbed	a.暴躁的
crack	n.爆裂声；裂缝；v.裂开；破解，破译
cracker	n.发出爆裂声的东西
crackpot	a.古怪的
cradle	n.摇篮；发源地；吊架 v.将…放在摇篮内
craft	n.行业；手艺
crafty	adj．狡诈的
crag	n．悬崖，峭壁
craggy	adj．有峭壁的，粗壮的
cram	v.（超限）填塞，塞满；临时抱佛脚，为考试而学习
cramp	n.铁箍，夹子；v.把…箍紧
cramped	a.痉挛的,狭窄的,难辩读的(指字写得小而挤)
cranial	a.头盖骨的;颅骨的
crank	n．曲柄，古怪的人
cranky	a.怪癖的；不稳的
crash	v.碰；坠毁；横冲直撞；破产 n.碰撞；失败
crass	a.愚钝的；粗鲁的
crate	n.篓，板条箱
crater	n.火山口；弹坑
cravat	n.领巾，围巾
crave	v．渴望，热望
craven	a.懦弱的，畏缩的
craving	n.强烈的愿望
crawl	n.&vi.爬行，伏地行进
crayon	n.彩色腊笔、粉笔或其绘画
craze	n. 狂热,大流行
crazy	a.癫狂的；疯狂的
crease	n.折缝，皱痕
create	v.创造；产生
creation	n.创造物，创作；宇宙，世界
creature	n.生物，动物
credence	n.相信，信任
credential	n.凭证, 文凭
credentials	n. 信任状
credible	a.可信的，可靠的
credit	n.赊购；信任；(电影)片头字幕
creditable	adj．值得称赞的，可信的
credo	n.信经,信条,使徒信经曲
credulity	n．轻信，易信
credulous	a.轻信的，易信的
creed	n．信条，教义
creek	n.小湾，小溪
creep	v.匍匐前进；悄悄地移动
cremate	v.焚烧，火化
crepuscular	adj．朦胧的，微明的
crescendo	n.(音乐声音)渐强，高潮
crest	n.山顶，浪尖；（鸟）羽冠
crestfallen	a.挫败的，失望的
crevice	n．缺口，裂缝
crew	n.(全体)船员，机组人员，乘务员
crib	n.婴儿床 v.抄袭;剽窃
cricket	n.板球；蟋蟀
criminal	a.刑事的，犯罪的 n.罪犯，刑事犯
criminology	n.犯罪学
crimp	v.压出褶皱
crimson	adj.深红色
cringe	v.畏缩；谄媚
cringing	n./a.谄媚(的)，奉承(的)
crinkle	v．（使）变皱，n．皱纹
cripple	n．跛子，v．（使）残废
crisis	n.危机(关头)
crisp	a.脆的，易碎的；新鲜的；爽快的，明快的
criteria	n.评判标准
criterion	n.评判的标准，尺度
critic	n.批评者
critical	a.挑毛病的；关键的，危急的
criticism	n.批评，评论
critique	n.批评性的分析
croak	n.蛙鸣声；v.发牢骚，抱怨
crochet	n.钩针织物；v.用钩针编织
crockery	n.陶器，瓦器
croissant	n. 新月形面包
crone	n.丑陋的老太婆
cronyism	n.(由指政治上)任人唯亲；对好朋友的偏袒
crook	v.使弯曲；n.钩状物
crooked	adj．弯曲的，扭曲的
croon	v.低声哼唱
cross	a.生气的
crossbreed	v.杂交
crossfire	n．交叉火力
crotchety	a.脾气坏的
crouch	v.蹲伏，弯腰
crown	v.加冕，使成王，居…之顶
crucial	a.决定性的
crude	adj．未提炼的，粗鲁的，n．原油
crudity	n.粗糙，生硬
cruel	a.残酷的;冷酷的
cruise	v./n.巡航，巡游
crumb	n.饼屑，面包屑；碎裂的东西
crumble	v.弄碎；崩毁
crumple	v.弄皱；破裂
crunch	v.嘎吱嘎吱地咬嚼;
crusade	n.维护理想、原则而进行的运动或斗争
crush	v./n.压碎，榨
crust	n.硬的表面；(一片)面包片；地壳
crustacean	n．甲壳类动物
crutch	n.拐杖；v.支撑
crux	n.关键，症结所在
cryogenic	a.低温的，制冷的；低温学的
crypt	n.地窟,［解］腺窝,小囊
cryptic	a.秘密的，神秘的
cryptical	a.秘密的,神秘的,隐义的
cryptogram	n．暗号，密码
crystal	n.水晶；石英晶体，晶粒 a.水晶的
cub	n.幼兽；年轻无经验的人
cube	立方体
cubic	a.立方的
cubicle	n.大房间中隔出的小室
cucumber	n.黄瓜
cuddle	v．n．搂抱，拥抱
cue	v.暗示，提示；n.暗示，提示
cuff	n．袖口，v．用手轻拍
cuirass	n.胸甲，护胸铁甲
cuisine	n.烹饪
culinary	a.厨房的；烹调的
cull	v.选出;挑选;采集
culminate	vi.达到顶点(或高潮);告终(in);［天］到中天,到子午线
culmination	n.顶点；最终结果、最终结论
culpability	n.有罪,该受谴责
culpable	a.有罪的，该受谴责的
culprit	n. 犯人,罪犯,刑事被告
cult	n.宗派；崇拜
cultivate	v.种植；向…讨好
cultivated	a.耕种的，栽植的；有修养的
cultivation	n.耕作,裁培,教养
cultural	a.文化的，人文的，教养的
culture	n.文化；教养，修养
culture-bound	a.与文化相关的,受文化束缚的
culvert	n.涵洞
cumber	v.拖累，妨碍
cumbersome	a.笨重的
cumulative	a.累积的，渐增的
cumulus	n.积云
cunning	a.善于骗人的；灵巧的；n.欺诈行为
cupboard	n.食橱，碗橱
cupidity	n.贪婪
cur	n．杂种狗，坏种
curator	n.(博物馆等)馆长
curb	n.路缘，(街道的)镶边石；马勒；v.控制
curd	n．凝乳
curdle	v.使凝结，变稠
cure-all	n.万灵药
curfew	n.宵禁令
curiosity	n.好奇心;求知欲
curious	a.求知欲强的;好奇的
curl	v.(使)卷曲 n.卷发；卷曲物
curmudgeon	n.脾气暴躁之人
currency	n.通货，货币；流通，流行
current	a.现时的；通用的 n.(水、气、电)流；趋势
curriculum	n.(全部的)课程
curriculum vitae	n.简历，履历
currish	adj．下贱的，杂种的
curse	n.诅咒；祸因；骂人的话 v.诅咒；遭受…苦
cursive	adj．草书的
cursory	a.粗略的，草率的
curt	a.(言词、行为)简略而草率的
curtail	v.削减，缩短
curvaceous	adj．婀娜多姿的，曲线的
curve	n.曲线，弯曲 v.弄弯，弯曲
cushion	n.坐垫；v.缓冲
cussed	adj.执拗的，顽固的
custodian	n.管理员，监护人
custody	n.监护，监管，保管
custom	n.习惯；(the Customs)海关，(pl.)关税
customary	a.合乎习俗的
customize	v.定制,定做,安规格改制
cut	v.&n.切，割；削减
cute	adj.逗人喜爱的，漂亮的
cuticle	n.表皮
cutlery	n.(刀、叉、匙等)餐具
cutting	n. 切断,切下,开凿
cuttlefish	n．乌贼，墨鱼
cyanide	n. 『化学』氰化物
cyclic	adj. 循环的; 周期性的
cyclical	a.循环的
cyclone	n.气旋，飓风
cygnet	n．小天鹅
cylinder	n.圆柱
cynic	n.犬儒主义者，愤世嫉俗者
cynical	a.愤世嫉俗的
cynicism	n．愤世嫉俗，犬儒主义
cynosure	n．注意的焦点
cypress	n.柏树
cytokinin	n.［生］细胞激动素
cytology	n.[生]细胞学
cytoplasm	n.(生)细胞质
dab	v.轻拍
dabble	v.涉足，浅赏
dabbler	n.业余家
daft	a.傻的
dagger	n.短剑，匕首
daguerreotype	n.(早期)银版照相
dainty	n.精美食品；a.娇美的；挑剔的
dairy	n.牛奶场，乳品店；乳制品 a.牛奶的
dalliance	n．戏弄，玩弄
dally	v.闲荡，嬉戏
dam	n.堤，坝 v.筑坝
damn	v.谴责，指责(政策、行动等)
damp	v.减弱，制止振动；a.潮湿的
damped	a.减震的，压低(声音)的
dampen	v.(使)潮湿；使沮丧，泼凉水
damper	n.制音器，减音器
dandified	adj．打扮得像花花公子的
dandy	n.好打扮的男人，花花公子
dangle	v．悬挂，吊胃口
dank	adj.阴湿的
dapper	a.整洁漂亮的；动作敏捷的
dappled	a.有斑点的，斑驳的
daredevil	a./n.胆大的(人)，冒失的(人)
daring	n.勇敢；卤莽
darn	v.织补
dart	n.飞镖；v.急驰；投射
Darwinism	n.达尔文学说，进化论
dash	水猛冲；感情爆发
dashing	adj．有活力的，有朝气的
dastard	n.懦夫，胆小的人
database	n.数据库
date	n.日期；约会 v.给…注明日期 vi.(from)起
dated	a.过时的；陈旧的
daub	v．涂抹，乱画
daubster	n．拙劣的画家
daunt	v.使胆怯，使畏缩
dauntless	adj．勇敢的，无畏的
dawdle	v.闲荡，虚度
dawn	n.黎明；开始 vi.破晓；开始出现
day	n.一日；白天
daylight saving time	n.夏令时间
daze	v.使发昏，使眩晕
dazzle	v.眩目；眩惑，迷惑
dazzling	a.辉煌的;灿烂的
de-ice	v.除冰
deactivate	v.使无效
deaden	v.减低某物的力量或强度
deadline	n.截止时间，截止日期
deadlock	n.相持不下，僵局
deadly	a.致命的；极有害的 ad.死一样地；非常，很
deadpan	a./n.无表情的(脸)
deaf	a.聋的；不愿听的
deal	quant.许多;大量
dealing	n.生意行为；作风
dean	n.系主任，教务长
dearth	n.缺乏，短缺
debacle	n.解冻；崩溃
debar	v.禁止
debark	v.下船，下飞机，下车，卸载
debase	v.贬低，贬损
debatable	a.有争议的
debate	n.正式的辩论，讨论
debauch	v．使放荡，堕落
debauchery	n．放荡，沉缅酒色
debenture	n.债券;(海关)退税凭单
debilitate	v.使衰弱
debilitating	v.使虚弱;使衰弱
debility	n．衰弱，虚弱
debonair	adj.美丽的，温雅的
debouch	v.流出，进入(开阔地区)
debrief	v.向…询问情况，听取汇报
debris	n.废墟，残骸
debt	n.负债
debtor	n.债务人，借方
debunk	v.揭穿真相，暴露（坏事，贬义）
debut	n.（演员）初次登台，初次露面
debutante	n．初次参加社交活动的少女
decade	n.十年，十
decadence	n.衰落，颓废
decadent	adj．颓废的，衰退的
decagon	十边形
decamp	v．（士兵）离营，匆忙秘密地离开
decant	v.倾注, 倒出
decay	v.腐朽,衰微
deceit	n.欺骗，欺诈
deceitful	a.骗人的，欺诈的
deceive	v.欺骗，蒙骗
decelerate	v．（使）减速
decency	n.正派，端庄
decent	a.适当的，可接受的；得体的
decentralize	v. 使分散,排除集中,使地方分权
deception	n.欺骗手段
deceptive	adj.欺骗的，导致误解的
decibel	n.分贝(音量的单位)
decide	v.决定，拿定主意
deciduous	a.非永久的；短暂的；脱落的；落叶的
decimal	n.小数
decimal point	n. 小数点
decimate	v.毁掉大部分；大量杀死
decipher	v.解开(疑团)；破译(密码)
decisive	a.决定性的
deck	n.一副 (纸牌)
declaim	v.高谈阔论
declamation	n.雄辩，高调
declaration	n.宣布，宣告，宣言
declare	v.宣告，宣布；声明，断言；申报(纳税物品)
declassify	v．撤销保密
declination	n．倾斜，衰微
decline	v.拒绝；变弱，变小；n.消减
declivity	n．倾斜面，斜坡
decode	v.译解(密码)
decollete	a.低颈露肩的
decompose	v.(使)腐烂
decomposition	n.分解，腐烂，崩溃
decorate	v.装饰某事物
decoration	n.装饰，装潢；勋章
decorous	adj．符合礼节的，相称的
decorum	n.礼节，礼貌
decoy	v.欺骗，引诱
decrease	v.减少
decree	n．命令，法令，v．颁布命令，公告
decrepit	a.衰老的，破旧的
decrepitude	n．衰老、破旧
decry	v.责难；贬低(价值)
dedicate	v.奉献，供奉；献身，致力；题词于(书)上
dedicated	a. 专注的,献身的
dedication	n.对某事业或目的的忠诚
deduce	v.演绎，推断
deducible	a.可推论的
deduct	v.减去，扣除；演绎
deduction	n.推论;推断
deductive	a.推理的，演绎的
deed	n.行为；(土地或建筑物的)转让契约、证书
deem	v．认为，视为
deface	v.损坏（外观）
defalcate	vi.盗用公款
defamatory	adj．诽谤的
defame	v．诽谤，中伤
default	v./n.拖债；未履行的责任
defeat	n.战胜，挫败 v.击败，战胜
defeatist	n.失败主义者
defect	n.缺点，瑕疵；v.变节，脱党
defection	n．脱党，变节
defective	a.有缺点的
defence	n.保护，保卫；防御工事；答辩
defend	v.替…辩护
defendant	n.被告
defense	n.防御，防护
defer	v.推延；听从
deference	n.敬意，尊重
deferential	a.顺从的，恭顺的
defiance	n.挑战，违抗，反抗
defiant	adj.大胆反抗的
deficiency	n.缺陷；不足
deficient	adj.缺乏的, 不足的
deficit	n.不足，赤字
defile	v.弄污，弄脏；n.(山间)小道
defined	a.定义的；清晰的
definite	a.清楚的，明确的
definition	n.(轮廓等)清晰；定义
definitive	a.明确的，有权威的
